,Name,Price,Kms_driven,Fuel_type,Year,Company
107,Hyundai Santro Sportz,513099,29488,4,2018,Hyundai
108,Renault Kwid -,469399,36559,4,2019,Renault
109,Honda WR V,844199,38242,1,2018,Honda
110,Maruti Suzuki Ignis,544799,66426,4,2017,Maruti
111,Volkswagen Polo -,710899,16950,4,2018,Volkswagen
112,Maruti Suzuki Baleno,580599,18866,4,2016,Maruti
113,Maruti Suzuki Swift,638499,53245,1,2017,Maruti
114,Hyundai Verna -,654699,44543,4,2016,Hyundai
115,Maruti Suzuki S,894199,50128,1,2018,Maruti
116,Maruti Suzuki S,858599,56349,1,2018,Maruti
117,Maruti Suzuki S,992199,69524,1,2017,Maruti
118,Volkswagen Polo -,714999,41218,4,2017,Volkswagen
119,Maruti Suzuki Baleno,765599,9085,4,2020,Maruti
120,MG Motors Hector,1800299,11292,1,2019,MG
121,Mercedes Benz C,1190000,75000,1,2011,Mercedes
122,Maruti Suzuki Ertiga,600000,48600,1,2015,Maruti
123,Maruti Suzuki Alto,336000,3600,4,2019,Maruti
124,Maruti Suzuki Dzire,680699,29594,4,2019,Maruti
125,Honda City VX,714899,55953,4,2015,Honda
126,Maruti Suzuki Alto,316799,16980,4,2016,Maruti
127,Ford Ecosport -,675099,41828,1,2016,Ford
128,Maruti Suzuki S,1057399,64803,1,2018,Maruti
129,Maruti Suzuki Ertiga,938099,44460,1,2018,Maruti
130,Tata Nexon -,1057699,14276,1,2018,Tata
131,Maruti Suzuki Wagon,610099,23425,4,2019,Maruti
132,Maruti Suzuki Alto,452199,23056,4,2018,Maruti
133,Hyundai Elite i20,712699,16102,4,2019,Hyundai
134,Maruti Suzuki Vitara,838699,56615,1,2019,Maruti
135,Mahindra TUV300 -,666899,70317,1,2015,Mahindra
136,MG Motors Hector,1681899,6760,4,2020,MG
137,MG Motors Hector,1854599,8870,4,2020,MG
138,Maruti Suzuki Baleno,571499,78209,4,2016,Maruti
139,Volkswagen Vento -,589199,64292,4,2015,Volkswagen
140,Toyota Fortuner 3.0,1231000,117000,1,2012,Toyota
141,Hyundai i20 Magna,320000,89450,1,2011,Hyundai
142,Maruti Suzuki Alto,351699,58771,4,2015,Maruti
143,Maruti Suzuki Alto,299199,53266,4,2016,Maruti
144,Honda Amaze -,657199,9200,4,2019,Honda
145,Ford Ecosport -,539299,61721,4,2014,Ford
146,Hyundai Grand i10,608399,18333,4,2017,Hyundai
147,Ford Ecosport -,1042799,51780,4,2019,Ford
148,Maruti Suzuki Baleno,645199,30854,4,2018,Maruti
149,Ford Ecosport -,811899,24680,4,2017,Ford
150,Volkswagen Vento -,557799,85663,4,2015,Volkswagen
151,Mahindra Bolero -,873999,20541,1,2021,Mahindra
152,Hyundai i20 Magna,278299,64182,4,2010,Hyundai
153,Maruti Suzuki S,986399,58819,1,2017,Maruti
154,Maruti Suzuki Wagon,610099,32057,4,2019,Maruti
155,Jeep Compass -,1749899,18403,4,2018,Jeep
156,Maruti Suzuki Alto,443899,7877,4,2018,Maruti
157,Hyundai Verna 1.6,936299,15509,4,2018,Hyundai
158,Maruti Suzuki Baleno,580599,48329,4,2016,Maruti
159,Renault Kwid RXT,404499,21301,4,2019,Renault
160,Maruti Suzuki Vitara,838699,34566,1,2019,Maruti
161,Renault Kwid -,446499,34297,4,2018,Renault
162,Tata Hexa -,1047499,119571,1,2017,Tata
163,Maruti Suzuki Alto,345599,27957,4,2018,Maruti
164,Ford Ecosport -,784399,27210,4,2018,Ford
165,Maruti Suzuki Swift,489399,21610,4,2014,Maruti
166,Maruti Suzuki Baleno,627499,40902,4,2017,Maruti
167,Maruti Suzuki Alto,288399,11057,4,2015,Maruti
168,Maruti Suzuki Baleno,573999,72505,4,2016,Maruti
169,Hyundai Creta -,1373699,31338,4,2018,Hyundai
170,Maruti Suzuki Alto,279799,28674,4,2016,Maruti
171,Hyundai Elite i20,658199,25416,4,2018,Hyundai
172,Hyundai Grand i10,465499,14765,4,2016,Hyundai
173,Toyota Etios -,563999,60380,1,2015,Toyota
174,Maruti Suzuki Baleno,718699,19775,4,2018,Maruti
175,Tata Tiago -,543399,28495,4,2018,Tata
176,Hyundai Creta -,1780399,28344,1,2020,Hyundai
177,Toyota Glanza -,757999,10801,4,2020,Toyota
178,Tata Nexon -,1013999,4365,4,2019,Tata
179,Maruti Suzuki Celerio,439999,53266,1,2016,Maruti
