,Name,Price,Kms_driven,Fuel_type,Year,Company
467,Maruti Suzuki Ciaz,795000,58492,4,2018,Maruti
468,Honda City 1.5,350888,45000,4,2011,Honda
469,Maruti Suzuki Swift,580599,75691,1,2017,Maruti
470,Maruti Suzuki Alto,223299,84301,4,2013,Maruti
471,Tata Tiago -,600399,38346,4,2019,Tata
472,Maruti Suzuki Alto,367399,41530,4,2017,Maruti
473,Ford Ecosport -,704099,23049,4,2017,Ford
474,Maruti Suzuki Wagon,377899,74510,4,2016,Maruti
475,Maruti Suzuki Wagon,458699,20141,4,2016,Maruti
476,Ford Ecosport -,566199,85860,4,2015,Ford
477,Maruti Suzuki Swift,594599,63133,1,2017,Maruti
478,Maruti Suzuki Dzire,678699,71894,4,2018,Maruti
479,Renault Duster -,883099,95627,1,2017,Renault
480,Ford Ecosport -,578099,75324,1,2014,Ford
481,Maruti Suzuki Alto,305899,64611,4,2015,Maruti
482,Maruti Suzuki Celerio,457399,77128,4,2016,Maruti
483,Maruti Suzuki Alto,316799,36306,4,2016,Maruti
484,Hyundai i20 Asta,399999,83803,4,2011,Hyundai
485,Mahindra XUV 500,1100000,44000,1,2018,Mahindra
486,Honda City 1.5,990888,700,4,2020,Honda
487,Hyundai i20 Asta,399999,83803,4,2011,Hyundai
488,Hyundai Creta 1.6,841499,75398,4,2017,Hyundai
489,Honda City ZX,1016899,42317,4,2017,Honda
490,Maruti Suzuki Swift,748599,60214,1,2018,Maruti
491,Maruti Suzuki Swift,622099,58861,1,2017,Maruti
492,Volkswagen Polo -,530699,27995,4,2016,Volkswagen
493,Maruti Suzuki Celerio,471899,61018,4,2017,Maruti
494,Maruti Suzuki Swift,505399,67109,4,2015,Maruti
495,Maruti Suzuki Wagon,460299,81811,4,2017,Maruti
496,Hyundai Verna 1.6,683999,27357,4,2017,Hyundai
497,Volkswagen Polo HIGHLINE1.2L,639699,53293,4,2018,Volkswagen
498,Maruti Suzuki Celerio,510499,45260,4,2017,Maruti
499,Hyundai Venue -,1185499,3139,4,2019,Hyundai
500,Maruti Suzuki Celerio,471899,44690,4,2017,Maruti
501,Hyundai Santro ASTA,579899,13858,4,2019,Hyundai
502,Maruti Suzuki Alto,333699,25256,4,2017,Maruti
503,Maruti Suzuki Ciaz,590000,44100,3,2016,Maruti
504,Honda Amaze 1.2,375888,47000,4,2016,Honda
505,Mahindra XUV 500,778888,46000,1,2015,Mahindra
506,Volvo XC60 D3,1750000,86000,1,2012,Volvo
507,Volkswagen Polo COMFORTLINE,582899,15227,4,2017,Volkswagen
508,Volkswagen Polo -,414099,87375,1,2014,Volkswagen
509,Maruti Suzuki Eeco,516599,7679,4,2020,Maruti
510,Maruti Suzuki Alto,366299,48378,4,2016,Maruti
511,Maruti Suzuki Wagon,375899,54645,4,2014,Maruti
512,Maruti Suzuki Eeco,493899,7211,4,2019,Maruti
513,Datsun Redi GO,311399,37217,4,2017,Datsun
514,Maruti Suzuki Eeco,493899,32372,4,2019,Maruti
515,Maruti Suzuki Wagon,501999,37947,4,2018,Maruti
516,Hyundai Grand i10,409399,51886,4,2014,Hyundai
517,Toyota Innova Crysta,1737899,43187,1,2018,Toyota
518,Hyundai i20 Active,583999,33616,1,2015,Hyundai
519,Volkswagen Vento -,654299,91087,1,2015,Volkswagen
520,Ford Ecosport -,986699,26372,4,2018,Ford
521,Maruti Suzuki Celerio,414199,58762,4,2014,Maruti
522,Hyundai Elite i20,588099,101920,1,2016,Hyundai
523,Hyundai i20 Active,567399,35140,4,2015,Hyundai
524,Maruti Suzuki Ciaz,805099,50842,1,2018,Maruti
525,Honda Amaze -,492199,43412,4,2015,Honda
526,Honda Jazz -,495799,46201,4,2016,Honda
527,Maruti Suzuki S,1113599,63626,1,2017,Maruti
528,Maruti Suzuki Alto,299999,18251,4,2016,Maruti
529,Maruti Suzuki Baleno,592099,41019,4,2016,Maruti
530,Renault Kwid RXT,322299,46463,4,2015,Renault
531,Renault Kwid -,481999,20110,4,2017,Renault
532,Hyundai Grand i10,534599,17364,4,2016,Hyundai
533,MG Motors Hector,1681899,6760,4,2020,MG
534,Maruti Suzuki Celerio,429599,35109,4,2016,Maruti
535,Honda Amaze -,723799,44266,4,2018,Honda
536,Volkswagen Polo -,563299,39156,4,2017,Volkswagen
537,Maruti Suzuki Alto,214199,57993,4,2011,Maruti
538,Maruti Suzuki Alto,319399,51573,4,2015,Maruti
539,Maruti Suzuki Vitara,810399,78329,1,2016,Maruti
540,Maruti Suzuki Ertiga,788999,61977,1,2016,Maruti
541,Mahindra KUV100 K6,508799,58640,1,2016,Mahindra
542,Renault Kwid -,457099,40650,4,2018,Renault
543,Volkswagen Polo -,612899,19121,4,2019,Volkswagen
544,Ford Ecosport -,684099,85893,1,2016,Ford
545,Renault Triber -,716699,9874,4,2019,Renault
546,Hyundai Grand i10,501599,25202,4,2016,Hyundai
547,Hyundai Grand i10,509699,95999,4,2016,Hyundai
548,Maruti Suzuki Alto,337799,49074,4,2014,Maruti
549,Hyundai Verna 1.6,852399,52439,4,2017,Hyundai
550,Mahindra XUV 500,1784699,10813,1,2020,Mahindra
551,Hyundai Creta -,778199,127971,4,2016,Hyundai
552,Maruti Suzuki Swift,705099,114108,1,2018,Maruti
553,Hyundai Grand i10,557599,52030,1,2017,Hyundai
554,Mahindra XUV 500,1518099,44721,1,2018,Mahindra
555,BMW 5 Series,1059000,49000,4,2010,BMW
556,Maruti Suzuki Alto,185000,55000,4,2011,Maruti
557,Mercedes Benz E,1948888,10000,1,2013,Mercedes
558,Tata Harrier -,2272499,22667,1,2020,Tata
559,Honda City -,626199,68519,4,2014,Honda
560,Tata Nano -,236099,64011,4,2015,Tata
561,Maruti Suzuki Alto,430499,13598,4,2021,Maruti
562,Maruti Suzuki Wagon,442799,47037,4,2014,Maruti
563,Hyundai Creta -,1373699,69711,4,2018,Hyundai
564,Hyundai Elite i20,589299,49189,4,2015,Hyundai
565,Maruti Suzuki Alto,298199,18368,4,2016,Maruti
566,Tata Harrier -,1508799,16874,1,2020,Tata
567,Maruti Suzuki Eeco,473699,24484,4,2019,Maruti
568,Maruti Suzuki Baleno,656299,20688,4,2019,Maruti
569,Maruti Suzuki Alto,345799,24065,4,2016,Maruti
570,Hyundai Grand i10,584599,22609,4,2018,Hyundai
571,Skoda Rapid -,786799,56523,1,2017,Skoda
572,Hyundai Elite i20,624799,48031,4,2018,Hyundai
573,Hyundai Grand i10,472399,45578,4,2016,Hyundai
574,Hyundai Fluidic Verna,408888,70070,1,2012,Hyundai
575,Hyundai i10 Magna,288888,28000,4,2015,Hyundai
576,Chevrolet Sail 1.2,198888,30030,1,2013,Chevrolet
577,Ford Endeavor 4X4,898888,25000,1,2011,Ford
578,BMW 3 Series,1148888,8000,1,2013,BMW
579,Hyundai Elite i20,687199,28648,4,2016,Hyundai
580,Hyundai i10 Magna,387099,59819,4,2015,Hyundai
581,Maruti Suzuki Baleno,650599,19574,4,2018,Maruti
582,Tata Hexa -,1705799,46337,1,2019,Tata
583,Volkswagen Polo -,526899,73563,4,2015,Volkswagen
584,Honda Jazz -,612799,51428,4,2016,Honda
585,Maruti Suzuki Alto,269099,95754,4,2016,Maruti
586,Tata Hexa -,1952199,34533,1,2019,Tata
587,Maruti Suzuki Baleno,646299,50154,4,2016,Maruti
588,Maruti Suzuki Celerio,425899,23492,4,2016,Maruti
589,Maruti Suzuki Celerio,496399,37739,4,2017,Maruti
590,Maruti Suzuki Celerio,393799,46178,4,2015,Maruti
591,Maruti Suzuki Baleno,619599,42893,4,2017,Maruti
592,Maruti Suzuki Alto,423599,57875,5,2019,Maruti
593,Hyundai Venue -,831999,4832,4,2020,Hyundai
594,Renault Triber -,695099,27805,4,2019,Renault
595,Hyundai Xcent S,390000,71000,1,2014,Hyundai
596,Maruti Suzuki Alto,261499,68844,4,2013,Maruti
597,Honda Jazz -,649699,37070,4,2017,Honda
598,Hyundai Grand i10,494099,20393,4,2017,Hyundai
599,Maruti Suzuki Alto,313399,22244,4,2017,Maruti
600,Toyota Fortuner -,2122099,47024,1,2016,Toyota
601,Hyundai Elite i20,552799,64707,4,2015,Hyundai
602,Ford Ecosport -,490099,52149,4,2013,Ford
603,Hyundai Grand i10,638599,11203,4,2017,Hyundai
604,Maruti Suzuki Alto,374799,18071,4,2015,Maruti
605,Hyundai Elite i20,517499,81412,4,2016,Hyundai
606,Maruti Suzuki Swift,553899,41912,4,2016,Maruti
607,Maruti Suzuki Swift,579199,32516,4,2016,Maruti
608,Hyundai Grand i10,531999,41552,4,2015,Hyundai
609,Hyundai Grand i10,496199,21790,4,2018,Hyundai
610,Maruti Suzuki Baleno,659099,34010,4,2019,Maruti
611,Hyundai Elite i20,534799,50050,4,2016,Hyundai
612,Hyundai Grand i10,496199,21790,4,2018,Hyundai
613,Maruti Suzuki Wagon,298599,75822,4,2011,Maruti
614,Tata Tiago -,490199,28589,4,2016,Tata
615,Renault Kwid -,422999,15883,4,2017,Renault
616,Hyundai Elite i20,656399,63648,4,2016,Hyundai
617,Maruti Suzuki Vitara,688599,156931,1,2016,Maruti
618,Maruti Suzuki XL6,1113299,13829,4,2019,Maruti
619,Maruti Suzuki Baleno,608399,28361,4,2016,Maruti
620,Hyundai Grand i10,587399,77960,4,2017,Hyundai
621,Maruti Suzuki Celerio,449699,33473,4,2015,Maruti
622,Maruti Suzuki Eeco,464899,29052,4,2019,Maruti
623,Maruti Suzuki Alto,302699,68041,4,2017,Maruti
624,Maruti Suzuki Baleno,583299,61361,4,2015,Maruti
625,Honda BRV -,877999,32218,4,2018,Honda
626,Hyundai i10 Magna,398499,28579,4,2016,Hyundai
627,Hyundai Grand i10,529399,51343,4,2017,Hyundai
628,Honda City V,950000,35500,4,2017,Honda
629,Hyundai i20 Sportz,439000,16000,4,2012,Hyundai
630,Renault Kwid RxL,422299,17357,4,2019,Renault
631,Ford Figo Aspire,589999,14517,4,2017,Ford
632,Maruti Suzuki Baleno,661299,13517,4,2017,Maruti
633,Maruti Suzuki Wagon,429099,42302,4,2017,Maruti
634,Maruti Suzuki Celerio,389399,65783,4,2015,Maruti
635,Renault Lodgy -,629799,138716,1,2015,Renault
636,Hyundai i10 Sportz,397299,43339,4,2013,Hyundai
637,Maruti Suzuki Ignis,546399,19526,4,2018,Maruti
638,Maruti Suzuki Alto,412999,25673,4,2016,Maruti
639,Maruti Suzuki Celerio,402799,93304,4,2016,Maruti
640,Hyundai Creta -,915699,94409,1,2019,Hyundai
641,Hyundai EON -,357899,27339,4,2016,Hyundai
642,Renault Kwid -,475399,9095,4,2018,Renault
643,Maruti Suzuki Eeco,485299,21934,4,2019,Maruti
644,Maruti Suzuki Baleno,643599,51706,4,2016,Maruti
645,Honda City ZX,1069999,54000,0,2018,Honda
646,Honda City ZX,1069999,54000,0,2018,Honda
647,Honda City ZX,1069999,54000,0,2018,Honda
648,Honda WRV VX,735000,34000,4,2018,Honda
649,Maruti Suzuki Wagon,438199,31281,4,2018,Maruti
650,Honda City -,924599,46312,4,2019,Honda
651,Hyundai Elite i20,664099,32989,4,2018,Hyundai
652,Renault Kwid -,462299,50599,4,2018,Renault
653,Honda Brio -,438499,26127,4,2016,Honda
654,Maruti Suzuki Vitara,680999,58118,1,2016,Maruti
655,Maruti Suzuki Alto,393199,23534,4,2019,Maruti
656,Maruti Suzuki Baleno,646799,58978,4,2018,Maruti
657,Maruti Suzuki Wagon,349999,33103,4,2014,Maruti
658,Maruti Suzuki Eeco,419599,14600,4,2018,Maruti
659,Maruti Suzuki Baleno,585099,26049,4,2016,Maruti
660,Ford Freestyle -,627799,33895,1,2018,Ford
661,Volkswagen Polo -,520799,32893,4,2017,Volkswagen
662,Maruti Suzuki Swift,410199,61717,4,2013,Maruti
663,Maruti Suzuki Wagon,404399,82334,4,2017,Maruti
664,Hyundai Verna -,682799,87381,4,2017,Hyundai
665,Porsche Cayenne Select,3300000,38000,2,2011,Porsche
666,Toyota Innova 2.5,1175000,210000,1,2013,Toyota
667,Ford Ecosport -,1045799,34642,4,2019,Ford
668,Maruti Suzuki Swift,410199,154104,4,2013,Maruti
669,Maruti Suzuki Alto,297299,61826,4,2016,Maruti
670,Tata Nexon -,980199,44751,1,2018,Tata
671,Honda Jazz -,794299,5183,4,2019,Honda
672,Maruti Suzuki Swift,411899,136082,1,2012,Maruti
673,Maruti Suzuki Celerio,557399,5817,4,2019,Maruti
674,Hyundai Creta -,896099,99138,1,2015,Hyundai
675,Honda Jazz -,637699,27936,4,2016,Honda
676,Maruti Suzuki Alto,254499,39845,4,2014,Maruti
677,Maruti Suzuki Eeco,457699,15615,4,2019,Maruti
678,Honda Brio -,361599,53158,4,2012,Honda
679,Maruti Suzuki Baleno,675799,16002,4,2019,Maruti
680,Maruti Suzuki Wagon,389499,31133,4,2015,Maruti
681,Maruti Suzuki Baleno,625599,20172,4,2016,Maruti
682,Volkswagen Polo -,686999,69653,4,2013,Volkswagen
683,Volkswagen Ameo Comfortline,519699,26023,4,2017,Volkswagen
684,Maruti Suzuki Alto,324599,19805,4,2018,Maruti
685,Maruti Suzuki Alto,340199,41365,4,2017,Maruti
686,Ford Ecosport -,693999,90001,1,2017,Ford
687,Hyundai EON Era,310999,45285,4,2016,Hyundai
688,Maruti Suzuki Ciaz,722199,42441,4,2016,Maruti
689,Maruti Suzuki Celerio,485099,24342,4,2016,Maruti
690,Maruti Suzuki Dzire,614999,14308,4,2017,Maruti
691,Maruti Suzuki Vitara,1061399,32456,1,2018,Maruti
692,Maruti Suzuki S,879699,58448,1,2018,Maruti
693,Maruti Suzuki Ertiga,755199,86576,1,2016,Maruti
694,Ford Ecosport -,816399,50421,4,2018,Ford
695,Maruti Suzuki Eeco,414299,26035,4,2017,Maruti
696,Tata Tiago -,476299,23499,4,2018,Tata
697,Maruti Suzuki Baleno,572599,25636,4,2016,Maruti
698,Kia Seltos -,1644799,15023,4,2019,Kia
699,Kia Carnival -,1500000,50000,1,2020,Kia
700,Hyundai Creta -,1000000,12000,4,2021,Hyundai
701,Maruti Suzuki Alto,352199,22584,4,2015,Maruti
702,Maruti Suzuki Baleno,566899,22394,4,2017,Maruti
703,Maruti Suzuki Dzire,650699,93563,1,2017,Maruti
704,Maruti Suzuki Eeco,413399,10537,4,2017,Maruti
705,Ford Ecosport -,645799,81515,1,2016,Ford
706,Jeep Compass -,1551499,24676,1,2017,Jeep
707,Maruti Suzuki Alto,333699,11917,4,2017,Maruti
708,Maruti Suzuki Ertiga,811799,69654,1,2016,Maruti
709,Maruti Suzuki Alto,406899,16226,4,2017,Maruti
710,Ford Ecosport -,727299,8925,4,2018,Ford
711,Honda Jazz -,657399,27819,4,2016,Honda
712,Hyundai Grand i10,637599,26543,4,2020,Hyundai
713,Maruti Suzuki Dzire,623799,90088,4,2017,Maruti
714,Maruti Suzuki Eeco,422899,34258,4,2018,Maruti
715,Hyundai i20 Active,576099,101744,4,2015,Hyundai
716,Jeep Compass -,1987699,19830,4,2019,Jeep
717,MG Motors Hector,1652199,13636,4,2019,MG
718,Hyundai Venue -,1217499,21393,4,2019,Hyundai
719,Hyundai Creta -,1198299,76915,1,2017,Hyundai
720,Hyundai Grand i10,590799,16300,4,2018,Hyundai
721,Hyundai Elite i20,844999,40106,1,2019,Hyundai
722,Renault Kwid RXT,328499,66461,4,2015,Renault
723,Hyundai Creta -,769599,48182,4,2016,Hyundai
724,Hyundai Elite i20,654299,41816,4,2017,Hyundai
725,Hyundai i20 -,395699,73841,4,2012,Hyundai
726,Renault Kwid RxL,294799,19908,4,2016,Renault
727,Hyundai Elite i20,534499,26226,4,2018,Hyundai
728,Maruti Suzuki Baleno,681399,43287,4,2016,Maruti
729,Datsun Redi GO,415699,26527,4,2018,Datsun
730,Maruti Suzuki Alto,300199,37801,4,2017,Maruti
731,Maruti Suzuki Vitara,856699,54044,1,2017,Maruti
732,Ford Figo Aspire,481399,29632,4,2017,Ford
733,Hyundai i10 Magna,229000,65000,4,2014,Hyundai
734,Jeep Compass Limited,1750000,31000,1,2017,Jeep
735,Jeep Compass Limited,1750000,31000,1,2017,Jeep
736,Jeep Compass Limited,1750000,31000,1,2017,Jeep
